	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
213	368118123	::&gt;66:91723&gt;24:3729697	0	2.5e-05	sortante
214	368118129	américain	0	2.5e-05	sortante
215	368118165	::&gt;66:11467&gt;24:3729697	0	2.5e-05	sortante
216	368462128	viande de vache	0	2.5e-05	sortante
217	368462163	::&gt;66:225916&gt;24:14510573	0	2.5e-05	sortante
218	368462168	viande de boeuf	0	2.5e-05	sortante
219	368462202	::&gt;66:225916&gt;24:14510576	0	2.5e-05	sortante
220	368462374	::&gt;66:225916&gt;24:328314	0	2.5e-05	sortante
221	368462396	::&gt;66:225916&gt;24:14510579	0	2.5e-05	sortante
222	368470427	tigre	0	2.5e-05	sortante
223	368470469	::&gt;66:137333&gt;24:327614	0	2.5e-05	sortante
224	368470628	viandes	0	2.5e-05	sortante
225	368470663	::&gt;66:137333&gt;24:14510605	0	2.5e-05	sortante
226	368488468	client	0	2.5e-05	sortante
227	368488505	::&gt;66:20082&gt;24:14334681	0	2.5e-05	sortante
228	368488530	::&gt;66:20082&gt;24:327494	0	2.5e-05	sortante
229	368586426	lapin en chocolat	0	2.5e-05	sortante
230	368586460	::&gt;66:124094&gt;24:14529945	0	2.5e-05	sortante
231	368655589	Big Mac	0	2.5e-05	sortante
232	368655620	::&gt;66:225916&gt;24:14450947	0	2.5e-05	sortante
233	368655644	::&gt;66:225916&gt;24:14531308	0	2.5e-05	sortante
234	368662498	MacDo	0	2.5e-05	sortante
235	368662516	::&gt;66:225916&gt;24:14531423	0	2.5e-05	sortante
236	368662914	ado	0	2.5e-05	sortante
237	368662945	::&gt;66:11081&gt;24:14531423	0	2.5e-05	sortante
238	368662967	::&gt;66:11081&gt;24:14531308	0	2.5e-05	sortante
239	368663000	proie	0	2.5e-05	sortante
240	368663025	jungle	0	2.5e-05	sortante
241	368663043	::&gt;66:137333&gt;24:14531441	0	2.5e-05	sortante
242	368663067	::&gt;66:137333&gt;24:14531439	0	2.5e-05	sortante
243	368665134	lion	0	2.5e-05	sortante
244	368665149	zèbre	0	2.5e-05	sortante
245	368665185	::&gt;66:86756&gt;24:14531507	0	2.5e-05	sortante
246	368665299	::&gt;66:11081&gt;24:14389150	0	2.5e-05	sortante
247	368668704	::&gt;66:52706&gt;24:14334681	0	2.5e-05	sortante
248	368671405	steack	0	2.5e-05	sortante
249	368671439	::&gt;66:52706&gt;24:14531598	0	2.5e-05	sortante
250	368671479	relais routiers	0	2.5e-05	sortante
251	368671498	::&gt;66:52706&gt;24:14531602	0	2.5e-05	sortante
252	368705729	famille pauvre	0	2.5e-05	sortante
253	368705744	restes	0	2.5e-05	sortante
254	368705779	::&gt;66:12616858&gt;24:14532671	0	2.5e-05	sortante
255	368757158	baguettes	0	2.5e-05	sortante
256	368757177	::&gt;66:225916&gt;24:327252	0	2.5e-05	sortante
257	368757199	::&gt;66:225916&gt;24:14535897	0	2.5e-05	sortante
258	368757225	chinois	0	2.5e-05	sortante
